Ticker,Asset Type,Classification Source,User Override,Historical Real Drift (daily),Adjusted Real Drift (daily),Historical Real Return (annual),Adjusted Real Return (annual),Forward Nominal Input (annual),Forward Real Target (annual),Valuation Scalar Applied,Metadata Available,Metadata Category
VOO,equity,metadata,,0.0002781263215953707,0.000140457874494531,0.07260238704751189,0.0360292576077257,,,0.5050146771037182,True,Large Blend
INTC,equity,metadata,,-0.00041636809331595823,-0.00021027199820224945,-0.09960773401206591,-0.05160912238439342,,,0.5050146771037182,True,
IEF,bond,metadata,,-9.405826177750587e-05,-1.9680024633022e-05,-0.02342397974099398,-0.004947088855278486,0.0373,0.013879386179259434,,True,Long Government
0LQQ.L,equity,metadata,,-0.0005182212376522177,-0.00026170933100122393,-0.12242402999769723,-0.06382303145014481,,,0.5050146771037182,True,
AMD,equity,metadata,,0.0008520828570410458,0.0004303143489141974,0.23952083304806632,0.11453716037054658,,,0.5050146771037182,True,
CHD,equity,metadata,,0.00032529682518022963,0.00016427967113125832,0.0854284566285474,0.04226734250297294,,,0.5050146771037182,True,
KR,equity,metadata,,0.00031001442760060684,0.00015656183605221449,0.08125633234986987,0.040242212514014636,,,0.5050146771037182,True,
NEE,equity,metadata,,0.00026893350630437604,0.00013581536784867523,0.07012048355573272,0.03481790361061807,,,0.5050146771037182,True,
FSLR,equity,metadata,,0.00022510709410850132,0.00011368238644496109,0.058366823804277636,0.029062261047170725,,,0.5050146771037182,True,
INSM,equity,metadata,,-8.70350010135226e-05,-4.3953952933565896e-05,-0.021694044812143015,-0.011015278725236362,,,0.5050146771037182,True,
GILD,equity,metadata,,7.005501417197984e-05,3.53788103615588e-05,0.017810614079585143,0.008955321298417357,,,0.5050146771037182,True,
TEF,equity,metadata,,-0.00031895131595870537,-0.00016107509584069158,-0.0772304324631423,-0.03977814681547377,,,0.5050146771037182,True,
ESRT,equity,metadata,,-0.00030529345284075523,-0.0001541776745082532,-0.07404898945627499,-0.03810768569699692,,,0.5050146771037182,True,
BMW,equity,metadata,,-0.00022687829176372838,-0.00011457686725690245,-0.05556964248586863,-0.028460517810885308,,,0.5050146771037182,True,
PPG,equity,metadata,,-0.00014421429915670506,-7.283033772236242e-05,-0.035689560356176875,-0.01818584994887271,,,0.5050146771037182,True,
KGC,equity,metadata,,0.0004495532839665926,0.00022703100654330487,0.11995379227610739,0.05888007189562759,,,0.5050146771037182,True,
HASI,equity,metadata,,0.00012247117204124735,6.184973940292445e-05,0.031343927111349576,0.015708231638124237,,,0.5050146771037182,True,
ADBE,equity,metadata,,0.00031289790837056217,0.00015801803616218824,0.08204229889564851,0.04062401237054537,,,0.5050146771037182,True,
PRU,equity,metadata,,4.9547270467469715e-05,2.502209879649981e-05,0.012564186595677733,0.006325490847338937,,,0.5050146771037182,True,
AIG,equity,metadata,,9.240287760547057e-05,4.666480939738111e-05,0.02355874960081878,0.011828947093805248,,,0.5050146771037182,True,
