Ticker,Asset Type,Classification Source,User Override,Historical Real Drift (daily),Adjusted Real Drift (daily),Historical Real Return (annual),Adjusted Real Return (annual),Forward Nominal Input (annual),Forward Real Target (annual),Valuation Scalar Applied,Metadata Available,Metadata Category
VOO,equity,metadata,,0.0002781254232941191,0.0001404574208392145,0.07260214424048256,0.03602913916768692,,,0.5050146771037182,True,Large Blend
INTC,equity,metadata,,-0.00041636875699318815,-0.0002102723333689914,-0.09960788459965425,-0.05160920248739834,,,0.5050146771037182,True,
IEF,bond,metadata,,-9.406116236074257e-05,-1.9681474924640352e-05,-0.023424693566021598,-0.004947452520670037,0.0373,0.013879386179259434,,True,Long Government
0LQQ.L,equity,metadata,,-0.0005182204945779319,-0.0002617089557378034,-0.12242386566743928,-0.06382294291927183,,,0.5050146771037182,True,
AMD,equity,metadata,,0.0008520828570410458,0.0004303143489141974,0.23952083304806632,0.11453716037054658,,,0.5050146771037182,True,
CHD,equity,metadata,,0.0003252953461168597,0.00016427892418254813,0.08542805206342012,0.04226714631588912,,,0.5050146771037182,True,
KR,equity,metadata,,0.00031001356374401484,0.00015656139979195661,0.08125609696919209,0.040242098152304284,,,0.5050146771037182,True,
NEE,equity,metadata,,0.0002689306188146024,0.00013581390962395952,0.07011970488560391,0.03481752334343303,,,0.5050146771037182,True,
FSLR,equity,metadata,,0.00022510709410850132,0.00011368238644496109,0.058366823804277636,0.029062261047170725,,,0.5050146771037182,True,
INSM,equity,metadata,,-8.70350010135226e-05,-4.3953952933565896e-05,-0.021694044812143015,-0.011015278725236362,,,0.5050146771037182,True,
GILD,equity,metadata,,7.00539718787187e-05,3.537828398816408e-05,0.01781034674361992,0.00895518746444236,,,0.5050146771037182,True,
TEF,equity,metadata,,-0.00031895070368341566,-0.00016107478663268386,-0.07723029008590224,-0.039778071994582734,,,0.5050146771037182,True,
ESRT,equity,metadata,,-0.0003052931901337033,-0.00015417754183733623,-0.0740489281563002,-0.038107653537982275,,,0.5050146771037182,True,
BMW,equity,metadata,,-0.00021144989550323147,-0.00010678530070117939,-0.05189059158592325,-0.0265510505656354,,,0.5050146771037182,True,
PPG,equity,metadata,,-0.00014421562415267347,-7.283100686477357e-05,-0.03568988233839922,-0.018186015506177645,,,0.5050146771037182,True,
KGC,equity,metadata,,0.0004495536173723689,0.00022703117491811533,0.11995388637267534,0.05888011682438886,,,0.5050146771037182,True,
HASI,equity,metadata,,0.00012246797613599963,6.184812542386771e-05,0.0313430965001619,0.015707818526591217,,,0.5050146771037182,True,
ADBE,equity,metadata,,0.00031289790837056217,0.00015801803616218824,0.08204229889564851,0.04062401237054537,,,0.5050146771037182,True,
PRU,equity,metadata,,4.9548192879377326e-05,2.502256462805149e-05,0.012564421964023348,0.006325608979443425,,,0.5050146771037182,True,
AIG,equity,metadata,,9.240406623680013e-05,4.66654096736482e-05,0.02355905619263205,0.011829100152796455,,,0.5050146771037182,True,
