Ticker,Asset Type,Classification Source,User Override,Current Market Value,Portfolio Weight,Historical Real Drift (daily),Adjusted Real Drift (daily),Historical Real Return (annual),Adjusted Real Return (annual),Forward Nominal Input (annual),Forward Real Target (annual),Valuation Scalar Applied,Metadata Available,Metadata Category
INSM,equity,user,Stock,27492.0,0.053696450403294675,-0.0005247310530752548,-0.0005247310530752548,-0.12386248990870222,-0.12386248990870222,0.112029,0.112029,,True,
GILD,equity,user,Stock,4552.02,0.008890852472166647,-3.2368293125473505e-05,-3.2368293125473505e-05,-0.008123633360114273,-0.008123633360114273,0.03187,0.03187,,True,
TEF,equity,user,Stock,4524.8,0.008837687283021525,-0.00020852165227784435,-0.00020852165227784435,-0.051190707061302146,-0.051190707061302146,-0.008857,-0.008857,,True,
0LQQ.L,equity,user,Stock,4528.03,0.00884399601046233,-0.00029952476255789954,-0.00029952476255789954,-0.07270194639011753,-0.07270194639011753,-0.030114,-0.030114,,True,
ESRT,equity,user,Stock,4522.679999999999,0.008833546570273998,-0.0004616327613825071,-0.0004616327613825071,-0.10981988103121432,-0.10981988103121432,-0.039601,-0.039601,,True,
KR,equity,user,Stock,32514.93,0.06350706846033749,2.3346392126421763e-06,2.3346392126421763e-06,0.0005885021810847737,0.0005885021810847737,0.047721,0.047721,,True,
CHD,equity,user,Stock,4559.88,0.008906204359994738,1.282140267983253e-05,1.282140267983253e-05,0.003236218760842156,0.003236218760842156,0.036731,0.036731,,True,
BMW.DE,equity,user,Stock,4520.32,0.00882893709759279,-0.00012546018843229546,-0.00012546018843229546,-0.03112140847494335,-0.03112140847494335,0.015406,0.015406,,True,
PPG,equity,user,Stock,4496.5,0.008782412674174834,-0.00019326173814363472,-0.00019326173814363472,-0.04753503804998712,-0.04753503804998712,-0.002983,-0.002983,,True,
KGC,equity,user,Stock,108554.04,0.21202410246389009,-1.3664640572708196e-05,-1.3664640572708196e-05,-0.0034375674140248325,-0.0034375674140248325,0.103723,0.103723,,True,
FSLR,equity,user,Stock,4537.98,0.008863430016046238,-0.00019057494302499202,-0.00019057494302499202,-0.046889931973849455,-0.046889931973849455,0.076962,0.076962,,True,
HASI,equity,user,Stock,4516.7300000000005,0.008821925230251462,-0.000266022695514013,-0.000266022695514013,-0.06484007287782403,-0.06484007287782403,0.033878,0.033878,,True,
NEE,equity,user,Stock,4477.0,0.008744325929563155,2.844394072752199e-05,2.844394072752199e-05,0.007193623754588617,0.007193623754588617,0.051056,0.051056,,True,
INTC,equity,user,Stock,4878.780000000001,0.009529069121874947,-0.00037399232299567965,-0.00037399232299567965,-0.08994119929088336,-0.08994119929088336,-0.002474,-0.002474,,True,
AMD,equity,user,Stock,211555.12,0.41320235008886413,0.00011958328140772247,0.00011958328140772247,0.030593641220460495,0.030593641220460495,0.186002,0.186002,,True,
ADBE,equity,user,Stock,4764.34,0.009305548760164156,-0.00015114588669693798,-0.00015114588669693798,-0.037372509036039246,-0.037372509036039246,0.028919,0.028919,,True,
PRU,equity,user,Stock,4576.0,0.008937689402207058,-0.00020323462574921817,-0.00020323462574921817,-0.0499257368337001,-0.0499257368337001,0.009583,0.009583,,True,
AIG,equity,user,Stock,4500.719999999999,0.008790655036342077,-0.0001679454991585376,-0.0001679454991585376,-0.04143918056641812,-0.04143918056641812,0.021661,0.021661,,True,
VOO,equity,user,Stock,51417.28,0.10042650317882712,0.00010450891639154854,0.00010450891639154854,0.026686110493770385,0.026686110493770385,0.055211,0.055211,,True,Large Blend
IEF,equity,user,Stock,4500.0,0.008789248756541032,5.558506376420202e-05,5.558506376420202e-05,0.014105999872216193,0.014105999872216193,0.014106,0.014106,,True,Long Government
