Entry,Simulation Index,End Value,Total Return %,CAGR %,Median CAGR % (All Sims),Prob (CAGR ≥ 12.5%)
Top 1,171,19510965.245387193,3710.8161560429926,43.9135875977829,,
Top 2,222,15234281.366015768,2875.5086345122286,40.39644835912053,,
Top 3,192,14937289.438320009,2817.5011693743913,40.1203146478623,,
Top 4,357,13520189.454718858,2540.7179634019312,38.73058000314727,,
Top 5,457,13351387.734344378,2507.7481787151887,38.55639176299972,,
Top 6,301,13166023.719652718,2471.5435023677196,38.36281448399666,,
Top 7,116,12219722.3668472,2286.7151026241863,37.33462883986461,,
Top 8,210,11319403.185645118,2110.8677860937323,36.287579106717025,,
Top 9,297,11071253.049625702,2062.399935550529,35.98581297100445,,
Top 10,224,10743761.409176921,1998.435369026262,35.57810511341295,,
Top 10 Median,,13258705.726998549,2489.6458405414546,38.459603123498184,,
Summary,,,,,12.499998986452654,50.0
